1174, Jordan Kelley
1181, Douglas Hodge
1183, Pony Ma
1186, Braydon Moreno
1187, Bob Iger
1188, Andy Marsh
1192, Emilio Lozoya
1194, Stuart
1195, Chris Larsen
1202, Joe Magnacca
1204, Lloyd Blankfeinrocks
1207, Paul Idzik
1208, Bob Tisch
1209, Marquez
1212, Mark ZuckerbergCant
1222, Laurent Potdevin
1223, Riccardo Zacconi
1224, Mark Thompson
1225, Leigh DrogenNYC
1226, Leigh Drogen
1227, Jeremy Allaire
1230, Yishan Wong
1231, Alexei Miller
1237, Ken Lewis
1238, German
1253, Vicent Viola
1254, Brad Katsuyama
1258, Walt Bettinger
1259, About Charles
1262, Michael Dieckmann
1263, Jeff Sprecher
1266, Jeremy Liew
1268, Dougan
1272, Doesn
1276, Richard Fuld
1283, Lloyd Blankfeinand
1285, Robert Thomson
1286, Mark ZuckerbergFacebook
1288, Tom FrestonInstead
1289, Tom Freston
1290, Chris DeWolfe
1291, Rupert MurdochIn
1292, Jonathan Miller
1293, Anne Moore
1294, Jeff Bewkes
1297, Mike Corbat
1298, Anders Gustafsson
1300, Karl
1314, Ben Uretsky
1318, Jamie Sokalsky
1320, Daniel Larimer
1327, Scott Dietzen
1329, Michael Pearson
1335, Chris Albrecht
1345, Eva Moskowitz
1347, Ron Bernstein
1350, Travis KalanickThe
1353, Mark Fields
1360, Pay Packages
1362, Stephen Holmes
1363, Frits
1364, Helped Beat
1371, Buffett
1372, Fred LaluyauxA
1373, Frederic Laluyaux
1374, David Gyngell
1376, Bill McDermott
1379, Bob Calderoni
1380, Gregg Steinhafel
1384, Nigel Travis
1385, John Alexander
1391, John Sculley
1397, Pierre Laubies
1400, John Wren
1401, Sir Martin
1402, Jonathan Bush
1403, Jayshree Ullal
1405, An
1406, Keith McCullough
1411, Ian Read
1412, Virginia Rometty
1413, Robert
1414, Owen Kerr
1415, Daniel AkersonDETROIT
1419, Dick Grasso
1422, Kevin Plank
1424, Monty Morans
1425, Doug McMillon
1430, Vince McMahon
1432, LOBBIES OTTAWA
1433, Pierre Beaudoin
1434, Randall StephensonAT
1436, Brady DouganThe
1438, Ed Stack
1440, Edward Stack
1444, John Mulligan
1445, Aleksey Miller
1450, Divya Narendra
1462, Bill Lovette
1463, William Lovette
1464, Pilgrim
1465, JBS
1466, Sergio Marchionnerecently
1468, Ian Rogers
1473, Robert Iger
1474, Don ThompsonAt
1475, Doug Yearly
1477, David Pyott
1479, Scott Schuberg
1481, Tyson Foods
1483, Mario Gabelli
1484, Joe Kaeser
1486, Murray Kessler
1492, Dave Goldberg
1493, David Thodey
1495, Radha Agrawal
1499, Luke Kanies
1500, Jayshree
1505, Jean
1511, Michael Fries
1514, Gary Friedman
1517, Hedayatullah Yahya
1518, Michael Heyward
1522, Scott
1530, Bob Tinker
1532, Michael SmithA
1533, Darren HustonPriceline
1534, Vic Neufeld
1537, Omar Ishrak
1543, Tom Enders
1545, James Dinan
1549, Heads To
1550, Doug Lawler
1552, Howard Levine
1556, Dov Charney
1557, John Rishton
1560, RosneftIn
1564, Rick Wagoner
1569, Rebekah Brooks
1571, JK Shin
1573, Leslie Moonves
1574, Nick Woodman
1576, Marianne Lake
1578, Brian CheskyI
1580, Niall Wass
1582, Mark Karpelssays
1587, Mike
1588, Jeff Mezger
1589, Stephan Winkelmann
1591, Robbie Allen
1592, Dick Fishers
1594, Andrew Witty
1597, Jeffrey Ettinger
1603, Michael Lynch
1611, Charney
1620, Jenaro Garcia
1626, Fabrice Brgiertold
1630, Robert Lynch
1631, Kip Tindell
1646, Glenn Murphy
1648, Gary Loveman
1650, Steven
1651, Scott Dittman
1658, Thomas Prendergast
1672, Jeffrey Bewkes
1674, Jeff
1678, Steve BallmerHELSINKI
1695, Brett WilsonShares
1696, Heather Bresch
